name,image,aid
"Panasonic 1.5 Ton 4 Star Wi-Fi Twin-Cool Inverter Split Air Conditioner (Copper, Shield Blu Anti-Corrosion Technology, nan...",https://m.media-amazon.com/images/I/41Edvsb7GhL._AC_UL320_.jpg,344388
"Carrier 1.5 Ton 3 Star AI Flexicool Hybridjet Inverter Split AC (Copper, 4-in-1 Flexicool with Anti-Viral Guard, Smart Ene...",https://m.media-amazon.com/images/I/61+5fn85FmL._AC_UL320_.jpg,97703
"Daikin 1.8 Ton 3 Star Inverter Split AC (Copper, Anti Bacterial Filter, 2022 Model, ATKL60UV16, White)",https://m.media-amazon.com/images/I/31m9JOiVesL._AC_UL320_.jpg,125246
"Voltas 1 Ton 5 Star, Inverter Split AC(Copper, 4-in-1 Adjustable Mode, Anti-dust Filter, 2023 Model, 125V Vectra Elite, Wh...",https://m.media-amazon.com/images/I/41e6oqY5-ZL._AC_UL320_.jpg,501325
"LG 2 Ton 4 Star DUAL Inverter Wi-Fi Window AC (Copper, Convertible 4-in-1 cooling, HD Filter with Anti Virus Protection, 2...",https://m.media-amazon.com/images/I/61OuuS5wd9L._AC_UL320_.jpg,252117
"Haier 1.5 Ton 5 Star Frost Self Clean Inverter Split AC(Intelli Convertible 7-in-1, 2023 Model, HSU18K-PYS5BE-INV, White)",https://m.media-amazon.com/images/I/51cMhk5hAiL._AC_UL320_.jpg,196732
"Haier 1.0 Ton 3 Star Frost Self Clean Inverter Split AC(100% Grooved copper, Super Anti-corrosion, 2023 Model, HSU11V-TMS3...",https://m.media-amazon.com/images/I/51WirkzK4JL._AC_UL320_.jpg,196722
"LG 1.5 TON 5 STAR AI Convertible 6-in-1 Split AC with Anti Virus Protection, 2022 MODEL, (PS-Q19ENZE,WHITE)",https://m.media-amazon.com/images/I/31IKEzzTX6L._AC_UL320_.jpg,251899
"LG 2 Ton 3 Star Hot & Cold DUAL Inverter Split AC (Copper, Super Convertible 5-in-1 Cooling, 4 Way Swing & HD Filter with ...",https://m.media-amazon.com/images/I/51ufHesjnFL._AC_UL320_.jpg,252113
"ALLWIN TAFTA High Quality Metal Special Coated Floor Mounted Split Outdoor AC Stand for 1 Ton, 1.1 Ton, 1.2 Ton, 1.5 Ton, ...",https://m.media-amazon.com/images/I/61gxOsUEf3L._AC_UL320_.jpg,8830
